ID Group,Group,ID Subgroup,Subgroup,ID Occupation,Occupation,ID Year,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,Geography,ID Geography,Slug Geography
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations",2016,"2016","04000US36","New York",31129,2782.642089813205,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",4,"Service Occupations",11,"Healthcare Support Occupations",2016,"2016","04000US36","New York",47752,4209.399957238562,"Bronx County, NY","05000US36005","bronx-county-ny"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",20,"Construction & Extraction Occupations",2016,"2016","04000US36","New York",26326,2623.065763567509,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",2016,"2016","04000US36","New York",38376,3399.6577768946095,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",4,"Service Occupations",15,"Building & Grounds Cleaning & Maintenance Occupations",2016,"2016","04000US36","New York",45148,4381.826331565412,"Bronx County, NY","05000US36005","bronx-county-ny"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations",2016,"2016","04000US36","New York",54527,3980.3996030549492,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,"Architecture & Engineering Occupations",2016,"2016","04000US36","New York",3118,947.0300945587738,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",8,"Arts, Design, Entertainment, Sports, & Media Occupations",2015,"2015","04000US36","New York",8210,1388.005763676794,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,"Legal Occupations",2015,"2015","04000US36","New York",3981,1003.7674033360518,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",4,"Service Occupations",15,"Building & Grounds Cleaning & Maintenance Occupations",2015,"2015","04000US36","New York",43936,3782.80874483498,"Bronx County, NY","05000US36005","bronx-county-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",24,"Material Moving Occupations",2015,"2015","04000US36","New York",9975,1678.6735835176532,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",4,"Service Occupations",11,"Healthcare Support Occupations",2015,"2015","04000US36","New York",44213,3894.596898268164,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",4,"Service Occupations",16,"Personal Care & Service Occupations",2015,"2015","04000US36","New York",40754,3459.046834028126,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",10,"Health Technologists & Technicians",2015,"2015","04000US36","New York",11506,1993.1708406456285,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations",2015,"2015","04000US36","New York",16451,2269.290858396076,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",5,"Protective Service Occupations",12,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2015,"2015","04000US36","New York",17940,2434.099422784534,"Bronx County, NY","05000US36005","bronx-county-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,"Transportation Occupations",2015,"2015","04000US36","New York",33847,3531.49288545227,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",9,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2015,"2015","04000US36","New York",15316,1796.90511713891,"Bronx County, NY","05000US36005","bronx-county-ny"
1,"Service Occupations",5,"Protective Service Occupations",13,"Law Enforcement Workers Including Supervisors",2015,"2015","04000US36","New York",5852,1351.0603243378882,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",2015,"2015","04000US36","New York",35710,3317.663334336382,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations",2015,"2015","04000US36","New York",8165,1622.273096614747,"Bronx County, NY","05000US36005","bronx-county-ny"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations",2015,"2015","04000US36","New York",56074,4035.6472838938735,"Bronx County, NY","05000US36005","bronx-county-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,"Production Occupations",2015,"2015","04000US36","New York",17637,2163.6312070221206,"Bronx County, NY","05000US36005","bronx-county-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations",2015,"2015","04000US36","New York",33108,2847.821623627435,"Bronx County, NY","05000US36005","bronx-county-ny"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",18,"Office & Administrative Support Occupations",2015,"2015","04000US36","New York",85085,5095.841932399396,"Bronx County, NY","05000US36005","bronx-county-ny"
